Reference,Status,Survey title,Source title,Survey authors,Source authors,Survey year,Source dates,Survey venue,Source venue,Source URL,Link status,Notes
71,matched,Uncertainty-aware reward model: Teaching reward models to know what is unknown,Uncertainty-aware Reward Model: Teaching Reward Models to Know What is Unknown,"Xingzhou Lou, Dong Yan, Wei Shen, Yuzi Yan, Jian Xie, and Junge Zhang",Xingzhou Lou; Dong Yan; Wei Shen; Yuzi Yan; Jian Xie; Junge Zhang,2024,2024/10/01; 2025/02/12,"arXiv preprint arXiv:2410.00847, 2024.",arXiv preprint,https://arxiv.org/abs/2410.00847,reachable,
72,matched,Helping or herding? reward model ensembles mitigate but do not eliminate reward hacking,Helping or Herding? Reward Model Ensembles Mitigate but do not Eliminate Reward Hacking,"Jacob Eisenstein, Chirag Nagpal, Alekh Agarwal, Ahmad Beirami, Alex D’Amour, DJ Dvijotham, Adam Fisch, Katherine Heller, Stephen Pfohl, Deepak Ramachandran, et al",Jacob Eisenstein; Chirag Nagpal; Alekh Agarwal; Ahmad Beirami; Alex D'Amour; DJ Dvijotham; Adam Fisch; Katherine Heller; Stephen Pfohl; Deepak Ramachandran; Peter Shaw; Jonathan Berant,2023,2023/12/14; 2024/08/16,"arXiv preprint arXiv:2312.09244, 2023.",arXiv preprint,https://arxiv.org/abs/2312.09244,reachable,
73,matched,Simba uq: Similarity-based aggregation for uncertainty quantification in large language models,SIMBA UQ: Similarity-Based Aggregation for Uncertainty Quantification in Large Language Models,"Debarun Bhattacharjya, Balaji Ganesan, Junkyu Lee, Radu Marinescu, Katsiaryna Mirylenka, Michael Glass, and Xiao Shou",Debarun Bhattacharjya; Balaji Ganesan; Junkyu Lee; Radu Marinescu; Katsiaryna Mirylenka; Michael Glass; Xiao Shou,2025,2025/10/10; 2025/10/10,"arXiv preprint arXiv:2510.13836, 2025.",arXiv preprint,https://arxiv.org/abs/2510.13836,reachable,
74,matched,Kernel language entropy: Fine-grained uncertainty quantification for llms from semantic similarities,Kernel Language Entropy: Fine-grained Uncertainty Quantification for LLMs from Semantic Similarities,"Alexander Nikitin, Jannik Kossen, Yarin Gal, and Pekka Marttinen",Alexander Nikitin; Jannik Kossen; Yarin Gal; Pekka Marttinen,2024,2024/05/30; 2024/05/30,,arXiv preprint,https://arxiv.org/abs/2405.20003,reachable,
75,matched,Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,"Lorenz Kuhn, Yarin Gal, and Sebastian Farquhar",Lorenz Kuhn; Yarin Gal; Sebastian Farquhar,2023,2023/02/19; 2023/04/15,,arXiv preprint,https://arxiv.org/abs/2302.09664,reachable,
76,matched,Semantic entropy probes: Robust and cheap hallucination detection in llms,Semantic Entropy Probes: Robust and Cheap Hallucination Detection in LLMs,"Jannik Kossen, Jiatong Han, Muhammed Razzak, Lisa Schut, Shreshth Malik, and Yarin Gal",Jannik Kossen; Jiatong Han; Muhammed Razzak; Lisa Schut; Shreshth Malik; Yarin Gal,2024,2024/06/22; 2024/06/22,,arXiv preprint,https://arxiv.org/abs/2406.15927,reachable,
77,matched,Generating with confidence: Uncertainty quantification for black-box large language models,Generating with Confidence: Uncertainty Quantification for Black-box Large Language Models,"Zhen Lin, Shubhendu Trivedi, and Jimeng Sun",Zhen Lin; Shubhendu Trivedi; Jimeng Sun,2023,2023/05/30; 2024/05/20,"arXiv preprint arXiv:2305.19187, 2023.",arXiv preprint,https://arxiv.org/abs/2305.19187,reachable,
78,matched,Beyond semantic entropy: Boosting llm uncertainty quantification with pairwise semantic similarity,Beyond Semantic Entropy: Boosting LLM Uncertainty Quantification with Pairwise Semantic Similarity,"Dang Nguyen, Ali Payani, and Baharan Mirzasoleiman",Dang Nguyen; Ali Payani; Baharan Mirzasoleiman,2025,2025/05/30; 2025/05/30,,arXiv preprint,https://arxiv.org/abs/2506.00245,reachable,
79,matched,Geometric uncertainty for detecting and correcting hallucinations in llms,Geometric Uncertainty for Detecting and Correcting Hallucinations in LLMs,"Edward Phillips, Sean Wu, Soheila Molaei, Danielle Belgrave, Anshul Thakur, and David Clifton",Edward Phillips; Sean Wu; Soheila Molaei; Danielle Belgrave; Anshul Thakur; David Clifton,2025,2025/09/17; 2025/12/02,,arXiv preprint,https://arxiv.org/abs/2509.13813,reachable,
80,matched,From out-of-distribution detection to hallucination detection: A geometric view,From Out-of-Distribution Detection to Hallucination Detection: A Geometric View,"Litian Liu, Reza Pourreza, Yubing Jian, Yao Qin, and Roland Memisevic",Litian Liu; Reza Pourreza; Yubing Jian; Yao Qin; Roland Memisevic,2026,2026/02/06; 2026/06/04,,arXiv preprint,https://arxiv.org/abs/2602.07253,reachable,
